# kind, identity, ABI version, trust boundary, validation/effect contract, stable source witness, and tests (tab-separated; 14 fields).
stage	rodata-protection	platform	validated mapped rodata range	OS protection transition	range-contained;page protection succeeds before invocation	memory-protection	read-only-data-region	protection-error;release-region	tlci-loader-protect-rodata	loader-call	src/tlci_loader.tl:tlci-loader-protect-rodata	tlci-pages:data-map-non-executable	tlci-pages:data-protection-failure
stage	code-protection	platform	validated mapped code range	OS protection transition	range-contained;RX transition succeeds;post-transition writes rejected before invocation	memory-protection	read-execute-code-region	protection-error;release-region	tlci-loader-protect-code	loader-call	src/tlci_loader.tl:tlci-loader-protect-code	tlci-pages:code-map-rx	tlci-pages:copy-after-protect-rejected
stage	instruction-cache-coherence	x86-64	fully written code mapping	new instruction bytes	architecture has coherent instruction/data caches;RX protection transition completes before first call	native-execution	instruction-stream-visible-after-RX-transition	protection-error;release-region	tlci-loader-protect-code	loader-call	src/tlci_loader.tl:tlci-loader-protect-code	tlci-loader:loads-and-fixes-up	tlci-loader:protection-rejections
stage	image-entry-invoke	callback-v2	validated RX entry address	native entry status and registration bytes	entry inside code;host table stable storage;registration storage zeroed before raw call	native-execution	status+registration-record	nonzero-status;release-region	tlci-loader-call-image-entry-raw	loader-call	src/tlci_loader.tl:tlci-loader-call-image-entry-raw	tlci-loader:registration-success	tlci-loader:registration-status-rejections
stage	registration-validation	callback-v2	loader-owned registration buffer	image-written registration fields	magic;version;size;reserved-zero;table/count coherence before commit	image-registration	validated-registration-or-error	ABI-error;release-region	tlci-validate-image-registration	loader-call	src/tlci_core.tl:tlci-validate-image-registration	tlci-loader:registration-success	tlci-loader:registration-rejections
stage	macro-entry-validation	callback-v2	validated mapped image range	image-owned entry table;names;function addresses	count/table coherence;alignment;every name range;every function in RX code;unique names before indexing	macro-catalog	owned-indexed-macro-catalog	malformed-entry;release-region	tlci-loader-validate-macro-entries	loader-call	src/tlci_loader.tl:tlci-loader-validate-macro-entries	tlci-loader:macro-entry-validation	tlci-loader:macro-entry-rejections
stage	macro-entry-invoke	callback-v2	resolved generation-bound macro handle	session cookie;operand table;fuel;native status	mapping generation;entry state;function address in code;result storage initialized before raw call	native-execution	dispatch-status+result-word	status-or-invalid-handle;no-result-commit	tlci-loader-dispatch-resolved-macro	compiler-ctfe-route	src/tlci_loader.tl:tlci-loader-dispatch-resolved-macro	verify-embedded-stdlib-tlci:native-dispatch	comptime-host-smoke:foreign-and-invalid-handles
stage	result-commit	callback-v2	active compiler session and typed value stack	commit request and stack top	session cookie;first-failure latch;nonempty stack;not previously committed before result-slot write	result-commit	single compiler-owned result value	bad-request-or-latched-status;no-partial-result	compiler-comptime-host-callback-commit-result	native-image	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-commit-result	verify-embedded-stdlib-tlci:result-shape	verify-embedded-stdlib-tlci:bad-operand-or-fuel
stage	mapping-release	platform	loader-owned mapping descriptor	release request	nonzero region;single ownership path;all failure branches release before returning	memory-teardown	unmapped-region-or-error	tlci-page-release-error	tlci-loader-release	loader-owner	src/tlci_loader.tl:tlci-loader-release	tlci-pages:release-ok	tlci-loader:failure-cleanup
stage	failure-cleanup	platform	loader-owned pre-commit mapping	any validation;binding;protection;registration failure	every post-allocation error branch releases the exact mapping before returning;no loaded handle escapes	memory-teardown	error-with-no-live-mapping	original-error-or-release-error	tlci-loader-load-mapped-region	loader-owner	src/tlci_loader.tl:tlci-loader-load-mapped-region	tlci-loader:loads-and-fixes-up	tlci-loader:failure-cleanup
