contract	targets	optimizer_effect	memory	access	provenance	ordering	failure	abi	obligation
object_label	both	n/a	none	symbol-offset	defined-symbol	emission-order	duplicate-symbol-reject	object	label names resolve to exact section offsets
object_call	both	n/a	unknown	rel32-target	resolved-symbol	control-effect	range-or-symbol-reject	object	relocation preserves call versus tail-call target semantics
object_branch	both	n/a	none	rel32-target	resolved-label	control-effect	range-or-symbol-reject	object	conditional and unconditional edges retain target identity
object_rip_read	both	n/a	read	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement resolves within encoded range
object_rip_address	both	n/a	none	fixed-width-rip-relative	resolved-data-symbol	ordered-address	range-or-symbol-reject	object	LEA computes symbol address without reading the target
object_rip_write	both	n/a	write	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	RIP displacement and store width preserve data layout
object_rip_rmw	both	n/a	read+write	fixed-width-rip-relative	resolved-data-symbol	ordered-memory	range-or-symbol-reject	object	read-modify-write retains exact width and target address
object_stack	both	n/a	none	stack-delta	aligned-live-frame	ordered-abi	caller-frame-probe-required	object	stack adjustment preserves call-site alignment and shadow space
object_register	both	n/a	none	fixed-register-width	live-register	ordered-abi	none	object	register move respects target clobber and value class
object_bytes	both	n/a	unknown	explicit-byte-sequence	trusted-encoder	ordered-emission	invalid-encoding-reject	object	opaque bytes require checked producer and range validation
object_raw_elf	linux-x86_64	n/a	unknown	opaque-raw-bytes	trusted-elf-producer	ordered-emission	coff-route-reject	elf	raw bytes are rejected by COFF and admitted only by ELF route
data_record	both	n/a	write	record-width	section-owned-storage	ordered-layout	overflow-reject	object	physical extent and serializer offsets agree
data_rva	windows-x86_64	n/a	write	u32-rva	resolved-image-symbol	ordered-layout	range-or-symbol-reject	coff	RVA relocation fits 32 bits and target is image-relative
reloc_pc	both	n/a	write	rel32	resolved-symbol	link-time	range-or-symbol-reject	object	PC-relative displacement fits encoding and names one target
reloc_abs	both	n/a	write	u64-address	resolved-symbol	link-time	range-or-symbol-reject	object	absolute relocation writes exact pointer width
reloc_rva	windows-x86_64	n/a	write	u32-rva	resolved-image-symbol	link-time	range-or-symbol-reject	coff	image-relative relocation fits target field
object_section	both	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	object	section extent and symbol offsets remain consistent
object_section_win	windows-x86_64	n/a	write	section-alignment	owned-records	ordered-layout	overflow-reject	coff	Windows unwind and resource sections retain PE applicability
object_symbol	both	n/a	none	symbol-kind	resolved-or-extern	link-time	duplicate-or-missing-reject	object	binding kind and target section are not conflated
sysv_abi	linux-x86_64	n/a	read+write	sysv-arg-return-class	typed-call	ordered-abi	unsupported-signature-reject	sysv	six GP and eight SSE argument registers; sixteen-byte call alignment; caller-save and return class preserved
win64_abi	windows-x86_64	n/a	read+write	win64-arg-return-class	typed-call	ordered-abi	unsupported-signature-reject	win64	four positional registers; 32-byte shadow space; sixteen-byte call alignment; nonvolatile GP and XMM preserved
backend_scalar	both	n/a	none	scalar-lane	typed-program	mode-observable	none	backend	scalar reference preserves source active program order
backend_avx2	both	n/a	read+write	vector-lane	active-mask	mode-observable	unsupported-shape-reject	backend	AVX2 memory and masked semantics match scalar reference
backend_avx512	both	n/a	read+write	vector-lane	active-mask	mode-observable	unsupported-shape-reject	backend	AVX512 masked memory never touches inactive lanes
object_abi_context	both	n/a	read+write	scalar-intlike-subset	typed-call	ordered-abi	unsupported-signature-reject	object	fail closed outside currently witnessed direct-object call entry return subset
scratch_gp	both	n/a	none	gp-register	live-interval	ordered-abi	spill-or-reject	regalloc	scratch home must not overlap live owner or reserved target register
scratch_xmm	both	n/a	none	xmm-register	live-interval	ordered-abi	spill-or-reject	regalloc	XMM scratch home must respect vector class and caller clobber
scratch_fixed	both	n/a	none	fixed-register	live-interval	ordered-abi	spill-or-reject	regalloc	fixed RAX RDX RCX reservations exclude competing live values
scratch_role	both	n/a	none	constraint-carried-register-class	live-interval	ordered-abi	spill-or-reject	regalloc	per-instance class allowed excluded and fixed homes cannot overlap live owner values
