kind	identity	abi_version	trusted_data	untrusted_data	validation_before_effect	capability	result_or_commit	failure_status	implementation_binding	producer_or_caller	source_site	success_witness	malformed_witness
stage	rodata-protection	platform	validated mapped rodata range	OS protection transition	range-contained;page protection succeeds before invocation	memory-protection	read-only-data-region	protection-error;release-region	tlci-loader-protect-rodata	loader-call	src/tlci_loader.tl:tlci-loader-protect-rodata	tlci-pages:data-map-non-executable	tlci-pages:data-protection-failure
stage	code-protection	platform	validated mapped code range	OS protection transition	range-contained;RX transition succeeds;post-transition writes rejected before invocation	memory-protection	read-execute-code-region	protection-error;release-region	tlci-loader-protect-code	loader-call	src/tlci_loader.tl:tlci-loader-protect-code	tlci-pages:code-map-rx	tlci-pages:copy-after-protect-rejected
stage	instruction-cache-coherence	x86-64	fully written code mapping	new instruction bytes	architecture has coherent instruction/data caches;RX protection transition completes before first call	native-execution	instruction-stream-visible-after-RX-transition	protection-error;release-region	tlci-loader-protect-code	loader-call	src/tlci_loader.tl:tlci-loader-protect-code	tlci-loader:loads-and-fixes-up	tlci-loader:protection-rejections
stage	image-entry-invoke	callback-v2	validated RX entry address	native entry status and registration bytes	entry inside code;host table stable storage;registration storage zeroed before raw call	native-execution	status+registration-record	nonzero-status;release-region	tlci-loader-call-image-entry-raw	loader-call	src/tlci_loader.tl:tlci-loader-call-image-entry-raw	tlci-loader:registration-success	tlci-loader:registration-status-rejections
stage	registration-validation	callback-v2	loader-owned registration buffer	image-written registration fields	magic;version;size;reserved-zero;table/count coherence before commit	image-registration	validated-registration-or-error	ABI-error;release-region	tlci-validate-image-registration	loader-call	src/tlci_core.tl:tlci-validate-image-registration	tlci-loader:registration-success	tlci-loader:registration-rejections
stage	macro-entry-validation	callback-v2	validated mapped image range	image-owned entry table;names;function addresses	count/table coherence;alignment;every name range;every function in RX code;unique names before indexing	macro-catalog	owned-indexed-macro-catalog	malformed-entry;release-region	tlci-loader-validate-macro-entries	loader-call	src/tlci_loader.tl:tlci-loader-validate-macro-entries	tlci-loader:macro-entry-validation	tlci-loader:macro-entry-rejections
stage	macro-entry-invoke	callback-v2	resolved generation-bound macro handle	session cookie;operand table;fuel;native status	mapping generation;entry state;function address in code;result storage initialized before raw call	native-execution	dispatch-status+result-word	status-or-invalid-handle;no-result-commit	tlci-loader-dispatch-resolved-macro	compiler-ctfe-route	src/tlci_loader.tl:tlci-loader-dispatch-resolved-macro	verify-embedded-stdlib-tlci:native-dispatch	comptime-host-smoke:foreign-and-invalid-handles
stage	result-commit	callback-v2	active compiler session and typed value stack	commit request and stack top	session cookie;first-failure latch;nonempty stack;not previously committed before result-slot write	result-commit	single compiler-owned result value	bad-request-or-latched-status;no-partial-result	compiler-comptime-host-callback-commit-result	native-image	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-commit-result	verify-embedded-stdlib-tlci:result-shape	verify-embedded-stdlib-tlci:bad-operand-or-fuel
stage	mapping-release	platform	loader-owned mapping descriptor	release request	nonzero region;single ownership path;all failure branches release before returning	memory-teardown	unmapped-region-or-error	tlci-page-release-error	tlci-loader-release	loader-owner	src/tlci_loader.tl:tlci-loader-release	tlci-pages:release-ok	tlci-loader:failure-cleanup
stage	failure-cleanup	platform	loader-owned pre-commit mapping	any validation;binding;protection;registration failure	every post-allocation error branch releases the exact mapping before returning;no loaded handle escapes	memory-teardown	error-with-no-live-mapping	original-error-or-release-error	tlci-loader-load-mapped-region	loader-owner	src/tlci_loader.tl:tlci-loader-load-mapped-region	tlci-loader:loads-and-fixes-up	tlci-loader:failure-cleanup
callback	fuel-check	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	execution-budget	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-fuel-check	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-fuel-check	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	diagnostic	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length	diagnostics	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-diagnostic	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-diagnostic	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	scratch-alloc	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	scratch-memory	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-scratch-alloc	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-scratch-alloc	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	scratch-reset	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	scratch-memory	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-scratch-reset	generic-loader-import-admission	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-scratch-reset	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-var	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-var	native-producer-direct-count=5	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-var	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	module-name	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-module-name	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-module-name	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	module-hook	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-module-hook	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-module-hook	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	module-value?	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	direct-i64-predicate;no-result-commit	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-module-value?	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-module-value?	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	module-value-type	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	adapter:session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-module-value-type	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-module-value-type	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	module-value-expr	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	adapter:session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-module-value-expr	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-module-value-expr	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	function-shared-borrow-returns-string?	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	direct-i64-predicate;no-result-commit	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-function-shared-borrow-returns-string?	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-function-shared-borrow-returns-string?	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-list-empty	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-list-empty	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-list-empty	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-list-cons	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-list-cons	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-list-cons	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-list-append	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-list-append	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-list-append	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	push-operand	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range	session-value-stack	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-push-operand	native-producer-direct-count=4	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-push-operand	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-call	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-call	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-call	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-shared-call1	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-shared-call1	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-shared-call1	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-span	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,arg-c:i64	session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-span	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-span	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-span-unquoted	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,arg-c:i64	session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-span-unquoted	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-span-unquoted	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-tuple	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-tuple	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-tuple	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-array	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-array	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-array	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-array-ref	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-array-ref	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-array-ref	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-array-take	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-array-take	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-array-take	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-replace	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-replace	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-replace	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-array-push	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-array-push	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-array-push	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-make-array	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-make-array	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-make-array	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	operand-type-kind-eq	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length+typed-arena-handle	session-value-stack	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-operand-type-kind-eq	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-operand-type-kind-eq	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	operand-expr-type-kind-eq	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length+typed-arena-handle	session-value-stack	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-operand-expr-type-kind-eq	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-operand-expr-type-kind-eq	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	operand-type-key-eq	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length+typed-arena-handle	session-value-stack	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-operand-type-key-eq	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-operand-type-key-eq	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-type	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-type	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-type	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	type-expr	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	reflection-read	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-type-expr	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-type-expr	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-cast	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	unsafe-syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-cast	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-cast	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-ann	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-ann	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-ann	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-init	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,_arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+stack-bounds+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-init	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-init	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-bool-literal	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-bool-literal	native-producer-direct-count=4	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-bool-literal	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-int-literal	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,_arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-int-literal	native-producer-direct-count=2	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-int-literal	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
callback	expr-string	2	catalog-name+abi-version;compiler-owned-active-session	session:i64,arg-a:i64,arg-b:i64,_arg-c:i64	session-cookie+first-failure-latch+argument-range+pointer-length+typed-arena-handle	syntax-build	status-i64;session-state-only;commit-result-publishes-value	bad-request=4;diagnostic=1;fuel=2;abort=3;first-failure-latched	compiler-comptime-host-callback-expr-string	native-producer-direct-count=1	src/compiler_embedded_stdlib_tlci.tl:compiler-comptime-host-callback-expr-string	verify-embedded-stdlib-tlci:native-corpus	verify-tlci-boundary-manifest:invalid-session-guard
